Block,Sub Item,Tstat5 Legacy,Tstat6,Bytes,INTs,Multipler,Length info column,Operation info,Register and Description,XML Tag,"Keyword list(case insensitive)"
MODE,,214,113,1,int8,1,Low byte,W/R(not to eeprom),"Heating cooling mode configuration, HC, 0=PID, 1=Keypad, 2=Digital_in1(not used), 3=Digital_in1,(not used) 
4=Analog_in1, 5=Analog_in2",,
MODE,,301,114,2,int16,1,Full,W/R,Period timer ON time.,,
MODE,,302,115,2,int16,1,Full,W/R,Period timer OFF time.,,
MODE,,303,116,1,int8,1,Low byte,W/R(not to eeprom),"Period timer units. 0, second; 1, minute; 2, hour.",,
MODE,,317,117,1,int8,1,Low byte,W/R,"Dead master. The Tstat will go to occupied mode automatically if there is no serial communications for a user defined period of time, for example if the register is set to 10 the thermostat will go to ocupied mode if there are no communications for a period of 10 minutes. Set the register to 0 to disable the feature",,
MODE,,348,118,1,int8,1,Low byte,R,"Time format. 0 = 12hours,1 = 24hours, in TSTAT6, it always 24h",,
MODE,,,119,1,int8,1,Low byte,W/R,free cool cobfigure byte,,
MODE,,1,120,1,,,,,RS485 mode,,
,,,,,,,,,,,
INPUT,,101,121,2,int16,0.1(?),Full,W/R,"TEMPERATURE  reading in DegC or F from the sensor used in the control loop PI1 which is configured in register 111. This can be the internal sensor, external, or an average of the two. Writing a temperature value to this register will calibrate the currently selected sensor by adjusting the associated calibration register. If average is selected then you cannot write to this register.   ",temperature,Temperature
INPUT,,1,122,1,int8,1,Low byte,W/R,"ANALOG INPUT1 RANGE. 0 = raw data, 1 = thermistor, 2 = %, 3 = ON/OFF, 4 = N/A, 5 = OFF/ON",,
INPUT,,2,123,1,int8,1,Low byte,W/R,"ANALOG INPUT2 RANGE. 0 = raw data, 1 = thermistor, 2 = %, 3 = ON/OFF, 4 = N/A, 5 = OFF/ON",,
INPUT,,3,124,1,int8,1,Low byte,W/R,"ANALOG INPUT3 RANGE. 0 = raw data, 1 = thermistor, 2 = %, 3 = ON/OFF, 4 = N/A, 5 = OFF/ON",,
INPUT,,4,125,1,int8,1,Low byte,W/R,"ANALOG INPUT4 RANGE. 0 = raw data, 1 = thermistor, 2 = %, 3 = ON/OFF, 4 = N/A, 5 = OFF/ON",,
INPUT,,5,126,1,int8,1,Low byte,W/R,"ANALOG INPUT5 RANGE. 0 = raw data, 1 = thermistor, 2 = %, 3 = ON/OFF, 4 = N/A, 5 = OFF/ON",,
INPUT,,6,127,1,int8,1,Low byte,W/R,"ANALOG INPUT6 RANGE. 0 = raw data, 1 = thermistor, 2 = %, 3 = ON/OFF, 4 = N/A, 5 = OFF/ON",,
INPUT,,7,128,1,int8,1,Low byte,W/R,"ANALOG INPUT7 RANGE. 0 = raw data, 1 = thermistor, 2 = %, 3 = ON/OFF, 4 = N/A, 5 = OFF/ON",,
INPUT,,8,129,1,int8,1,Low byte,W/R,"ANALOG INPUT8 RANGE. 0 = raw data, 1 = thermistor, 2 = %, 3 = ON/OFF, 4 = N/A, 5 = OFF/ON",,
INPUT,,216,130,2,int16,0.1(?),Full,W/R,"Internal Thermistor Sensor - Shows the filtered, calibrated value of the internal thermistor sensor",,
INPUT,,9,131,2,int16,depend on input range,Full,W/R,Analog input1 value,,
INPUT,,10,132,2,int16,depend on input range,Full,W/R,Analog input2 value,,
INPUT,,11,133,2,int16,depend on input range,Full,W/R,Analog input3 value,,
INPUT,,12,134,2,int16,depend on input range,Full,W/R,Analog input4 value,,
INPUT,,13,135,2,int16,depend on input range,Full,W/R,Analog input5 value,,
INPUT,,14,136,2,int16,depend on input range,Full,W/R,Analog input6 value,,
INPUT,,15,137,2,int16,depend on input range,Full,W/R,Analog input7 value,,
INPUT,,16,138,2,int16,depend on input range,Full,W/R,Analog input8 value,,
INPUT,,,139,2,int16,1(ppm),Full,W/R,co2 ppm(optional),,
INPUT,,,140,2,int16,0.1(%),Full,W/R,humidity % (optional),,
INPUT,,309,141,2,int16,1,Full,W/R,Input auto/ manual enable.,,
INPUT,,213,142,1,int8,1,Low byte,W/R,"Temperature sensor filter, FIL, weighted average of stored value to new raw value",,
INPUT,,,143,1,int8,1,Low byte,W/R,(future)Analog input1 filer,,
INPUT,,,144,1,int8,1,Low byte,W/R,(future)Analog input2 filer,,
INPUT,,,145,1,int8,1,Low byte,W/R,(future)Analog input3 filer,,
INPUT,,,146,1,int8,1,Low byte,W/R,(future)Analog input4 filer,,
INPUT,,,147,1,int8,1,Low byte,W/R,(future)Analog input5 filer,,
INPUT,,,148,1,int8,1,Low byte,W/R,(future)Analog input6 filer,,
INPUT,,,149,1,int8,1,Low byte,W/R,(future)Analog input7 filer,,
INPUT,,,150,1,int8,1,Low byte,W/R,(future)Analog input8 filer,,
INPUT,,,151,1,int8,1,Low byte,W/R,(future)co2 filer,,
INPUT,,,152,1,int8,1,Low byte,W/R,(future)hum filer,,
INPUT,,109,153,2,int16,0.1(?),Full,W/R,"CALIBRATION, this is the calibration factor for the internal sensor, normally maintained by the tstat.",,
INPUT,,217,154,2,int16,0.1(?),Full,W/R,Calibration for the internal thermistor - internally managed offset for the internal temp sensor value,,
INPUT,,17,155,2,int16,depend on input range,Full,W/R,Calibration for analog input1,,
INPUT,,18,156,2,int16,depend on input range,Full,W/R,Calibration for analog input2,,
INPUT,,19,157,2,int16,depend on input range,Full,W/R,Calibration for analog input3,,
INPUT,,20,158,2,int16,depend on input range,Full,W/R,Calibration for analog input4,,
INPUT,,21,159,2,int16,depend on input range,Full,W/R,Calibration for analog input5,,
INPUT,,22,160,2,int16,depend on input range,Full,W/R,Calibration for analog input6,,
INPUT,,23,161,2,int16,depend on input range,Full,W/R,Calibration for analog input7,,
INPUT,,24,162,2,int16,depend on input range,Full,W/R,Calibration for analog input8,,
INPUT,,523,163,2,int16,1,Full,W/R,hum 1st calibration capacitance value,,
INPUT,,524,164,2,int16,1,Full,W/R,hum 1st calibration humidity value,,
INPUT,,525,165,2,int16,1,Full,W/R,hum 2nd calibration capacitance value,,
INPUT,,526,166,2,int16,1,Full,W/R,hum 2nd calibration humidity value,,
INPUT,,298,167,1,int8,1,Low byte,W/R,"Analog input1 function selection. 0, normal; 1, freeze protect sensor input; 2, occupancy sensor input; 3, sweep off mode; 4, clock mode; 5, change over mode.",,
INPUT,,299,168,1,int8,1,Low byte,W/R,"Analog input2 function selection. 0, normal; 1, freeze protect sensor input; 2, occupancy sensor input; 3, sweep off mode; 4, clock mode; 5, change over mode.",,
INPUT,,,169,1,int8,1,Low byte,W/R,"(future)Analog input3 function selection. 0, normal; 1, freeze protect sensor input; 2, occupancy sensor input; 3, sweep off mode; 4, clock mode; 5, change over mode.",,
INPUT,,,170,1,int8,1,Low byte,W/R,"(future)Analog input4 function selection. 0, normal; 1, freeze protect sensor input; 2, occupancy sensor input; 3, sweep off mode; 4, clock mode; 5, change over mode.",,
INPUT,,,171,1,int8,1,Low byte,W/R,"(future)Analog input5 function selection. 0, normal; 1, freeze protect sensor input; 2, occupancy sensor input; 3, sweep off mode; 4, clock mode; 5, change over mode.",,
INPUT,,,172,1,int8,1,Low byte,W/R,"(future)Analog input6 function selection. 0, normal; 1, freeze protect sensor input; 2, occupancy sensor input; 3, sweep off mode; 4, clock mode; 5, change over mode.",,
INPUT,,,173,1,int8,1,Low byte,W/R,"(future)Analog input7 function selection. 0, normal; 1, freeze protect sensor input; 2, occupancy sensor input; 3, sweep off mode; 4, clock mode; 5, change over mode.",,
INPUT,,,174,1,int8,1,Low byte,W/R,"(future)Analog input8 function selection. 0, normal; 1, freeze protect sensor input; 2, occupancy sensor input; 3, sweep off mode; 4, clock mode; 5, change over mode.",,
INPUT,,219,175,2,int16,depend on input range,Full,W/R,Lookup Table 1 - 0.0V value   Sensor value that corresponds to 0.0V,,
INPUT,,220,176,2,int16,depend on input range,Full,W/R,Lookup Table 1 - 0.5V value   Sensor value that corresponds to 0.5V,,
INPUT,,221,177,2,int16,depend on input range,Full,W/R,Lookup Table 1 - 1.0V value   Sensor value that corresponds to 1.0V,,
INPUT,,222,178,2,int16,depend on input range,Full,W/R,Lookup Table 1 - 1.5V value   Sensor value that corresponds to 1.5V,,
INPUT,,223,179,2,int16,depend on input range,Full,W/R,Lookup Table 1 - 2.0V value   Sensor value that corresponds to 2.0V,,
INPUT,,224,180,2,int16,depend on input range,Full,W/R,Lookup Table 1 - 2.5V value   Sensor value that corresponds to 2.5V,,
INPUT,,225,181,2,int16,depend on input range,Full,W/R,Lookup Table 1 - 3.0V value   Sensor value that corresponds to 3.0V,,
INPUT,,226,182,2,int16,depend on input range,Full,W/R,Lookup Table 1 - 3.5V value   Sensor value that corresponds to 3.5V,,
INPUT,,227,183,2,int16,depend on input range,Full,W/R,Lookup Table 1 - 4.0V value   Sensor value that corresponds to 4.0V,,
INPUT,,228,184,2,int16,depend on input range,Full,W/R,Lookup Table 1 - 4.5V value   Sensor value that corresponds to 4.5V,,
INPUT,,229,185,2,int16,depend on input range,Full,W/R,Lookup Table 1 - 5.0V value   Sensor value that corresponds to 5.0V,,
INPUT,,230,186,2,int16,depend on input range,Full,W/R,Lookup Table 2 - 0.0V value   Sensor value that corresponds to 0.0V,,
INPUT,,231,187,2,int16,depend on input range,Full,W/R,Lookup Table 2 - 0.5V value   Sensor value that corresponds to 0.5V,,
INPUT,,232,188,2,int16,depend on input range,Full,W/R,Lookup Table 2 - 1.0V value   Sensor value that corresponds to 1.0V,,
INPUT,,233,189,2,int16,depend on input range,Full,W/R,Lookup Table 2 - 1.5V value   Sensor value that corresponds to 1.5V,,
INPUT,,234,190,2,int16,depend on input range,Full,W/R,Lookup Table 2 - 2.0V value   Sensor value that corresponds to 2.0V,,
INPUT,,235,191,2,int16,depend on input range,Full,W/R,Lookup Table 2 - 2.5V value   Sensor value that corresponds to 2.5V,,
INPUT,,236,192,2,int16,depend on input range,Full,W/R,Lookup Table 2 - 3.0V value   Sensor value that corresponds to 3.0V,,
INPUT,,237,193,2,int16,depend on input range,Full,W/R,Lookup Table 2 - 3.5V value   Sensor value that corresponds to 3.5V,,
INPUT,,238,194,2,int16,depend on input range,Full,W/R,Lookup Table 2 - 4.0V value   Sensor value that corresponds to 4.0V,,
INPUT,,239,195,2,int16,depend on input range,Full,W/R,Lookup Table 2 - 4.5V value   Sensor value that corresponds to 4.5V,,
INPUT,,240,196,2,int16,depend on input range,Full,W/R,Lookup Table 2 - 5.0V value   Sensor value that corresponds to 5.0V,,
INPUT,,516,197,1,int8,1,Low byte,W/R,"Humidity Control Register, 0 = defautl, write 1 here to set to fac calib, ",,
INPUT,,517,198,1,int8,1,Low byte,W/R,Current humidity sensor value,,
INPUT,,518,199,1,int8,1,Low byte,W/R,"Update calibration data,  when set to 1, tstat will update the calibration data to PIC",,
INPUT,,519,200,1,int8,1,Low byte,W/R,"Calibration points number, value can be single or two point calibration for the Tstat6",,
INPUT,,520,201,1,int8,1,Low byte,W/R,Decide which calibration table will be used. 0 = default table 1 = customer table,,
,,,,,,,,,,,
OUTPUT,,280,202,1,int8,1,Low byte,W/R,"Determine the output1 mode. 0, ON/OFF mode; 1, floating valve for cooling;  2, floating valve for heating 3, PWM ",,
OUTPUT,,281,203,1,int8,1,Low byte,W/R,"Determine the output2 mode. 0, ON/OFF mode; 1, floating valve for cooling;  2, floating valve for heating 3, PWM ",,
OUTPUT,,282,204,1,int8,1,Low byte,W/R,"Determine the output3 mode. 0, ON/OFF mode; 1, floating valve for cooling;  2, floating valve for heating 3, PWM ",,
OUTPUT,,283,205,1,int8,1,Low byte,W/R,"Determine the output4 mode. 0, ON/OFF mode; 1, floating valve for cooling;  2, floating valve for heating 3, PWM ",,
OUTPUT,,284,206,1,int8,1,Low byte,W/R,"Determine the output5 mode. 0, ON/OFF mode; 1, floating valve for cooling;  2, floating valve for heating 3, PWM ",,
OUTPUT,,186,207,1,int8,1,Low byte,W/R,"Analog Output1 range - 0=On/Off, 1=0-10V, 2=0-5V, 3=2-10V, 4= 10-0V ",,
OUTPUT,,187,208,1,int8,1,Low byte,W/R,"Analog Output2 range - 0=On/Off, 1=0-10V, 2=0-5V, 3=2-10V, 4= 10-0V ",,
OUTPUT,,108,209,1,int8,1,Low byte,W/R,"Output1 tot 5, bit 0 thru 4 = relay 1 thru 5.",,
OUTPUT,,102,210,2,int16,1,Full,W/R(write only when manual output6 enable),"Output6 ,Analog output1, a number from 0-1000 representing 0% (closed) to 100% (open). When Range = On/Off mode, On=1000, Off=0.",,
OUTPUT,,103,211,2,int16,1,Full,W/R(write only when manual output7 enable),"Output7 Analog output2, a number from 0-1000 representing 0% (closed) to 100% (open). When Range = On/Off mode, On=1000, Off=0.    ",,
OUTPUT,,112,212,1,int8,1,Low byte,W/R,"DAC_OFFSET , Calibration data for the 0-10VDC signal, internal variable maintained by tstat",,
OUTPUT,,191,213,1,int8,1,Low byte,W/R,Output1 Relay1_delay_OFF_TO_ON  delay time for output1 going from OFF to ON (sec),,
OUTPUT,,192,214,1,int8,1,Low byte,W/R,Output2 Relay2_delay_OFF_TO_ON  delay time for output2 going from OFF to ON (sec),,
OUTPUT,,193,215,1,int8,1,Low byte,W/R,Output3 Relay3_delay_OFF_TO_ON  delay time for output3 going from OFF to ON (sec),,
OUTPUT,,194,216,1,int8,1,Low byte,W/R,Output4 Relay4_delay_OFF_TO_ON  delay time for output4 going from OFF to ON (sec),,
OUTPUT,,195,217,1,int8,1,Low byte,W/R,Output5 Relay5_delay_OFF_TO_ON  delay time for output5 going from OFF to ON (sec),,
OUTPUT,,,218,1,int8,1,Low byte,W/R,(future)Output6 delay_OFF_TO_ON  delay time for output4 going from OFF to ON (sec),,
OUTPUT,,,219,1,int8,1,Low byte,W/R,(future)Output7 delay_OFF_TO_ON  delay time for output5 going from OFF to ON (sec),,
OUTPUT,,,220,1,int8,1,Low byte,R,output 1 current time left from OFF to ON,,
OUTPUT,,,221,1,int8,1,Low byte,R,output 2 current time left from OFF to ON,,
OUTPUT,,,222,1,int8,1,Low byte,R,output 3 current time left from OFF to ON,,
OUTPUT,,,223,1,int8,1,Low byte,R,output 4 current time left from OFF to ON,,
OUTPUT,,,224,1,int8,1,Low byte,R,output 5 current time left from OFF to ON,,
OUTPUT,,,225,1,int8,1,Low byte,R,(reserved)output 6 current time left from OFF to ON,,
OUTPUT,,,226,1,int8,1,Low byte,R,(reserved)output 7 current time left from OFF to ON,,
OUTPUT,,196,227,1,int8,1,Low byte,W/R,Output1 Relay1_delay_ON_TO_OFF  delay time for output1 going from ON to OFF (sec),,
OUTPUT,,197,228,1,int8,1,Low byte,W/R,Output2 Relay2_delay_ON_TO_OFF  delay time for output2 going from ON to OFF (sec),,
OUTPUT,,198,229,1,int8,1,Low byte,W/R,Output3 Relay3_delay_ON_TO_OFF  delay time for output3 going from ON to OFF (sec),,
OUTPUT,,199,230,1,int8,1,Low byte,W/R,Output4 Relay4_delay_ON_TO_OFF  delay time for output4 going from ON to OFF(sec),,
OUTPUT,,200,231,1,int8,1,Low byte,W/R,Output5 Relay5_delay_ON_TO_OFF  delay time for output5 going from ON to OFF(sec),,
OUTPUT,,,232,1,int8,1,Low byte,W/R,(future)Output6_delay_ON_TO_OFF  delay time for output4 going from ON to OFF(sec),,
OUTPUT,,,233,1,int8,1,Low byte,W/R,(future)Output7_delay_ON_TO_OFF  delay time for output5 going from ON to OFF (sec),,
OUTPUT,,,234,1,int8,1,Low byte,R,output 1 current time left from ON to OFF,,
OUTPUT,,,235,1,int8,1,Low byte,R,output 2 current time left from ON to OFF,,
OUTPUT,,,236,1,int8,1,Low byte,R,output 3 current time left from ON to OFF,,
OUTPUT,,,237,1,int8,1,Low byte,R,output 4 current time left from ON to OFF,,
OUTPUT,,,238,1,int8,1,Low byte,R,output 5 current time left from ON to OFF,,
OUTPUT,,,239,1,int8,1,Low byte,R,(reserved)output 6 current time left from ON to OFF,,
OUTPUT,,,240,1,int8,1,Low byte,R,(reserved)output 7 current time left from ON to OFF,,
OUTPUT,,201,241,1,int8,1,Low byte,W/R,"MODBUS_CYCLING_DELAY  delay time (in minutes) for switching out of heating or cooling 
and then back in.",,
OUTPUT,,202,242,1,int8,1,Low byte,W/R,"MODBUS_CHANGOVER_DELAY  delay time (in minutes) for switching from cooling into 
heating or vice versa.",,
OUTPUT,,279,243,1,int8,1,Low byte,W/R,Valve travel time. The time of the valve travel  from one end to another end. The units is second.,,
OUTPUT,,285,244,1,int8,1(%),Low byte,R,Valve percent. Show the valve opened how much percent.  READ ONLY,,
,,,,,,,,,,,
,,,,,,,,,"Interlock for each output, analog and digital output.  0, interlock always ON; 1, DI1 determine the
interlock status(not used any more) ; 2, AI1 determine the interlock status, the range of AI1 must be ON/OFF; 3, AI2 determine the interlock status, the range of AI2 must be ON/OFF; 4, TIMER OR, the output OR with the period timer; 5, TIMER AND, the output AND with the period timer.",,
OUTPUT,,286,245,1,int8,1,Low byte,W/R,Interlock for  output1,,
OUTPUT,,287,246,1,int8,1,Low byte,W/R,Interlock for  output2,,
OUTPUT,,288,247,1,int8,1,Low byte,W/R,Interlock for  output3,,
OUTPUT,,289,248,1,int8,1,Low byte,W/R,Interlock for  output4,,
OUTPUT,,290,249,1,int8,1,Low byte,W/R,Interlock for  output5,,
OUTPUT,,291,250,1,int8,1,Low byte,W/R,Interlock for  output6,,
OUTPUT,,292,251,1,int8,1,Low byte,W/R,Interlock for  output7,,
OUTPUT,,296,252,1,int8,1,Low byte,W/R,"Delay to open. The heating valve will open if the ambient temp less than the Freeze temp 
setpoint last the time this register set. The units is second.",,
OUTPUT,,297,253,1,int8,1,Low byte,W/R,Delay to close. The duration the heating valve open. The units is minute.,,
OUTPUT,,310,254,1,int8,1,Low byte,W/R,"Output auto/manual enable. Bit 0 to 4 correspond to output1 to output5, bit 5 correspond to 
output6, bit 6 correspond to output7. 0, auto mode; 1, manual mode.",,
OUTPUT,,312,255,1,int8,1,Low byte,W/R,Relay1 manual output value,fan_relay_on,Relay1 manual output
OUTPUT,,313,256,1,int8,1,Low byte,W/R,Relay2 manual output value,cooling_stage1_relay_on,Relay2 manual output
OUTPUT,,314,257,1,int8,1,Low byte,W/R,Relay3 manual output value,cooling_stage2_relay_on,Relay3 manual output
OUTPUT,,315,258,1,int8,1,Low byte,W/R,Relay4 manual output value,heating_stage1_relay_on,Relay4 manual output
OUTPUT,,316,259,1,int8,1,Low byte,W/R,Relay5 manual output value,heating_stage2_relay_on,Relay5 manual output
OUTPUT,,,260,2,int16,1,Full,W/R,(future) Analog1 manual  output value,,
OUTPUT,,,261,2,int16,1,Full,W/R,(future) Analog2 manual  output value,,
OUTPUT,,544,262,1,int8,1,Low byte,W/R,"DEADMASTER_MODE = 0, the default, outputs will not change when deadmaster is triggered
DEADMASTER_MODE = 1, the output will be trigger to AUTO mode if they were previously in manual
DEADMASTER_MODE = 2, the outputs will go to manual on or off as defined in the following registers.",,
OUTPUT,,545,263,1,int8,1,Low byte,W/R,"Define output states when DEADMASTER_MODE = 2 (active)
Bit0 is for relay 1, bit1 for relay 2 and so on up to output 5",,
OUTPUT,,546,264,2,int16,1,Full,W/R,"Analog Output1 goes to this value when DEADMASTER_MODE = 2 (active), 0-1000",,
OUTPUT,,547,265,2,int16,1,Full,W/R,"Analog Output2 goes to this value when DEADMASTER_MODE = 2 (active), 0-1000",,
OUTPUT,,328,266,1,int8,1,Low byte,W/R,"Output1 Function setting:
0=normal, default. 1 = rotation (old disabled feature) 2 = lighting control, one keypad button can be assigned to toggle a relay on & off ",,
OUTPUT,,334,267,1,int8,1,Low byte,W/R,Output2 function setting (see above),,
OUTPUT,,335,268,1,int8,1,Low byte,W/R,Output3 function setting (see above),,
OUTPUT,,336,269,1,int8,1,Low byte,W/R,Output4 function setting (see above),,
OUTPUT,,337,270,1,int8,1,Low byte,W/R,Output5 function setting (see above),,
OUTPUT,,,271,1,int8,1,Low byte,W/R,(future)Output6 function setting (see above),,
OUTPUT,,,272,1,int8,1,Low byte,W/R,(future)Output7 function setting (see above),,
OUTTABLE,,137,273,1,int8,1,Low byte,W/R,"FAN_SPEED, current operating fan speed   ",,
,,,,,,,,,"Relay Output Tables (bit0 = relay1, bit1 = relay2, bit2 = relay3, bit3 = relay4, bit4 = relay5)",,
,,,,,,,,,"Fan0 table is for the off state. Fan1, Fan2, and Fan3 are for the manual states. 
Fan4 is for the Auto state.  These states are controlled by the user.",,
,,,,,,,,,"The mode of operation (coasting, cooling, heating) is determined by the PID parameter.",,
OUTTABLE,,247,274,1,int8,1,Low byte,W/R,"Output 1 PID Interlock                    0 = PID1, can assign each output to either PID1 or 2, the max or the min of the two PIDS",,
OUTTABLE,,248,275,1,int8,1,Low byte,W/R,Output 2 PID Interlock                    1 = PID2,,
OUTTABLE,,249,276,1,int8,1,Low byte,W/R,Output 3 PID Interlock                    2 = Maximum of PID1 and PID2,,
OUTTABLE,,250,277,1,int8,1,Low byte,W/R,Output 4 PID Interlock                    3 = Minimum of PID1 and PID2,,
OUTTABLE,,251,278,1,int8,1,Low byte,W/R,Output 5 PID Interlock,,
OUTTABLE,,252,279,1,int8,1,Low byte,W/R,Output 6 PID Interlock,,
OUTTABLE,,253,280,1,int8,1,Low byte,W/R,Output 7 PID Interlock,,
OUTTABLE,,254,281,1,int8,1,Low byte,W/R,PID2 Output table- Coasting,,
OUTTABLE,,255,282,1,int8,1,Low byte,W/R,PID2 Output table- Cooling1,,
OUTTABLE,,256,283,1,int8,1,Low byte,W/R,PID2 Output table- Cooling2,,
OUTTABLE,,257,284,1,int8,1,Low byte,W/R,PID2 Output table- Cooling3,,
OUTTABLE,,258,285,1,int8,1,Low byte,W/R,PID2 Output - Heating1,,
OUTTABLE,,259,286,1,int8,1,Low byte,W/R,PID2 Output - Heating,,
OUTTABLE,,260,287,1,int8,1,Low byte,W/R,PID2 Output - Heating3,,
OUTTABLE,,138,288,1,int8,1,Low byte,W/R,FAN0_OPERATION_TABLE_COAST,,
OUTTABLE,,139,289,1,int8,1,Low byte,W/R,FAN0_OPERATION_TABLE_COOL1,,
OUTTABLE,,140,290,1,int8,1,Low byte,W/R,FAN0_OPERATION_TABLE_COOL2,,
OUTTABLE,,141,291,1,int8,1,Low byte,W/R,FAN0_OPERATION_TABLE_COOL3  ,,
OUTTABLE,,142,292,1,int8,1,Low byte,W/R,FAN0_OPERATION_TABLE_HEAT1,,
OUTTABLE,,143,293,1,int8,1,Low byte,W/R,FAN0_OPERATION_TABLE_HEAT2 ,,
OUTTABLE,,144,294,1,int8,1,Low byte,W/R,FAN0_OPERATION_TABLE_HEAT3,,
OUTTABLE,,145,295,1,int8,1,Low byte,W/R,FAN1_OPERATION_TABLE_COAST,,
OUTTABLE,,146,296,1,int8,1,Low byte,W/R,FAN1_OPERATION_TABLE_COOL1 ,,
OUTTABLE,,147,297,1,int8,1,Low byte,W/R,FAN1_OPERATION_TABLE_COOL2,,
